"CDATIVO","CDEXCIPIENTE"
15,2942
17,1497
17,8688
30,24720
30,24766
30,24828
30,25205
30,25722
30,26811
30,27573
30,27580
30,27850
30,28413
30,28511
30,28570
30,28578
30,28586
30,28588
30,28589
30,28627
30,28639
30,28715
30,28716
30,28819
30,28821
30,28822
30,28823
30,28824
30,28825
30,28826
30,28827
30,28828
30,28829
30,29699
30,30339
30,30927
30,31023
30,31118
30,31199
30,32922
30,33485
30,34980
30,36807
30,39084
30,39726
30,40991
37,31708
37,37880
75,250
75,24999
84,86
84,5055
84,27576
86,147
96,27087
96,29186
96,29530
96,31535
96,33470
96,33590
113,237
113,26012
121,999
121,5056
121,23419
121,23529
121,23883
121,24008
121,24114
121,24277
121,24941
121,25322
121,26224
121,31855
124,27087
155,23480
220,83
220,86
220,250
236,26342
236,26413
236,26967
236,27197
236,27518
236,27830
236,27841
236,27842
236,27847
238,250
238,7619
238,27053
238,28724
238,29790
238,29793
238,30117
238,30118
238,30121
238,31342
238,31353
238,32760
238,32770
238,32775
238,32825
238,32828
238,32904
238,33069
238,33101
238,33186
238,33375
238,33470
238,33590
238,33592
238,33772
238,33773
238,33774
238,33775
238,33776
238,33778
238,33854
238,33855
238,34001
238,34002
238,34031
238,34032
238,34463
238,34464
238,34465
238,34466
238,34467
238,34595
238,34596
238,34649
238,34796
238,35021
238,35041
238,36060
238,36869
238,36871
238,38214
238,38272
238,38772
238,38806
238,39065
238,39468
238,39472
238,39494
238,39495
238,39546
238,39555
238,39558
238,39562
238,39566
238,39632
238,39748
238,39749
238,39754
238,39756
238,39757
238,39761
238,39765
238,40501
238,40727
238,40847
238,41048
238,41131
238,41223
238,41224
238,41228
238,41229
238,41230
238,41231
238,41662
249,250
251,29
251,1402
251,1403
251,4511
251,4529
267,24015
267,27135
267,27141
275,24222
344,31854
344,31909
346,27512
346,35947
383,24055
477,34198
477,34200
479,480
479,24935
479,26021
479,26205
479,26526
479,30414
479,31292
479,31541
479,31542
479,31855
480,23678
480,23679
480,23684
480,23751
480,23853
480,23854
504,23686
565,1497
697,25280
706,26224
707,708
735,40626
856,999
856,1051
856,1203
856,1213
856,1402
856,1403
856,5056
856,9198
856,23406
856,23419
856,23563
856,23733
856,23856
856,23883
856,24008
856,24015
856,24941
856,35022
874,1402
942,27033
963,27573
1017,39495
1017,39522
1017,39523
1017,39525
1065,1203
1065,1213
1065,1402
1065,1403
1065,5056
1065,23529
1065,23563
1065,23733
1065,24114
1065,24180
1065,24941
1065,27442
1065,30906
1065,30908
1107,5056
1107,23733
1107,23883
1205,28231
1205,29607
1205,31909
1206,26344
1206,28558
1207,29377
1207,29607
1212,23616
