,CDPRO,DESCR,UNIDA,PRCOM,FATOR,DILUICAO,EQUIV,DENSIDADE,PRVEN,ARGUMENTO,PARAMETRO
0,24301.0,TINT CRATAEGUS OXYCANTHA,G  ,0.0159,40.286,1.0,1.0,1.0,0.64055,,
1,3219.0,TM CRATAEGUS,G  ,0.0159,40.286,1.0,1.0,1.0,0.64055,,
2,24483.0,CRATAEGUS AXYACANTHA TINT,G  ,0.0159,40.286,1.0,1.0,1.0,0.64055,,
3,24167.0,CRATAEGUS TINT,G  ,0.0159,40.286,1.0,1.0,1.0,0.64055,,
4,12592.0,TINT CRATAEGUS,G  ,0.0159,40.286,1.0,1.0,1.0,0.64055,,
5,24372.0,*VIT D,G  ,24.0,11.1143,1.0,1.0,1.0,266.7432,UI                            ,40000000
6,3550.0,*COLECALCIFEROL,G  ,24.0,11.1143,1.0,1.0,1.0,266.7432,UI                            ,40000000
7,38627.0,NÃO USAR - VER CÓD 39398,G  ,24.0,11.1143,1.0,1.0,1.0,266.7432,UI                            ,40000000
8,34930.0,NÃO USAR - VER CÓD 39398,G  ,24.0,11.1143,1.0,1.0,1.0,266.7432,UI                            ,40000000
9,3006.0,*VIT D3,G  ,24.0,11.1143,1.0,1.0,1.0,266.7432,UI                            ,40000000
10,25457.0,*CHOLECALCIFEROL,G  ,24.0,11.1143,1.0,1.0,1.0,266.7432,UI                            ,40000000
11,40635.0,SELENIO METIONINA DIL 1%,G  ,0.0421,63.7523,100.0,1.0,1.0,2.686,,
12,40634.0,SELENIOMETIONINA DIL 1%,G  ,0.0421,63.7523,100.0,1.0,1.0,2.686,,
13,40636.0,SELENOMETIONINA SEM EQ,G  ,0.0421,63.7523,100.0,1.0,1.0,2.686,,
14,40633.0,SELENOMETIONINA DIL 1%,G  ,0.0421,63.7523,100.0,1.0,1.0,2.686,,
15,40632.0,L-SELENOMETIONINA DIL 1%,G  ,0.0421,63.7523,100.0,1.0,1.0,2.686,,
16,40616.0,L SELENOMETIONINA DIL 1%,G  ,0.0421,63.7523,100.0,1.0,1.0,2.686,,
17,36154.0,O.A.D.,G  ,0.032,18.374,1.0,1.0,0.913,0.58797,,
18,31917.0,OAD,G  ,0.032,18.374,1.0,1.0,0.913,0.58797,,
19,5276.0,OL AMENDOAS,G  ,0.032,18.374,1.0,1.0,0.913,0.58797,,
20,55153.0,OL AMENDOAS DOCE,G  ,0.032,18.374,1.0,1.0,0.913,0.58797,,
21,23346.0,OXANDROLONE,G  ,20.03,9.4684,1.0,1.0,0.57,189.65205,,
22,54537.0,OXANDROLONE,G  ,20.03,9.4684,1.0,1.0,0.57,189.65205,,
23,55438.0,OXANDROLONA,G  ,20.03,9.4684,1.0,1.0,0.57,189.65205,,
24,38801.0,AJUGA TURKESTANICA (2% TURKEST,G  ,0.45,0.0,1.03,1.0,0.52,5.65648,,
25,33721.0,TURKESTERONA DR FLAVIO FORMIGO,G  ,0.45,0.0,1.03,1.0,0.52,5.65648,,
26,33661.0,TURKESTERONE EXT SECO,G  ,0.45,0.0,1.03,1.0,0.52,5.65648,,
27,33663.0,AJUGA TURKESTONICA,G  ,0.45,0.0,1.03,1.0,0.52,5.65648,,
28,40057.0,LACT ACIDOPHILLUS PARAPROBIOTI,G  ,3.67,8.323,1.05,1.0,1.0,30.54541,,
29,38123.0,SYNBIOFF® LACT ACIDOP-DESCONTI,G  ,3.67,8.323,1.05,1.0,1.0,30.54541,,
30,40055.0,PARAPROBIOTICO LACT ACIDOPHILL,G  ,3.67,8.323,1.05,1.0,1.0,30.54541,,
31,38124.0,LACTOBACIILUS ACIDOP SYNBIOFF®,G  ,3.67,8.323,1.05,1.0,1.0,30.54541,,
32,4084.0,DSB-C,G  ,2.2508,14.1282,1.0,1.0,1.0,31.79975,,
33,32155.0,DIMETHYLSILANEDIOL SALICYLATO,G  ,2.2508,14.1282,1.0,1.0,1.0,31.79975,,
34,32154.0,DERIVADO ORGANICO SILICONE,G  ,2.2508,14.1282,1.0,1.0,1.0,31.79975,,
35,35172.0,MONASCUS PURPUREUS,G  ,0.525,6.5782,1.04,1.0,0.56,3.45356,,
36,41648.0,ARROZ VERMELHO EXT,G  ,0.525,6.5782,1.04,1.0,0.56,3.45356,,
37,29550.0,RED YEAST RICE EXT,G  ,0.525,6.5782,1.04,1.0,0.56,3.45356,,
38,37162.0,LEVEDURA DE ARROZ VERMELHO,G  ,0.525,6.5782,1.04,1.0,0.56,3.45356,,
39,40116.0,RED YEAST RICE(PAD MONAKOLIN K,G  ,0.525,6.5782,1.04,1.0,0.56,3.45356,,
40,36151.0,Ñ USAR,G  ,0.525,6.5782,1.04,19.23,0.56,3.45356,,
41,35173.0,RED RICE,G  ,0.525,6.5782,1.04,1.0,0.56,3.45356,,
