"CDPRO","DESCR","UNIDA","PRCOM","FATOR","DILUICAO","EQUIV","DENSIDADE","PRVEN"
15,"*FR CONTA GOTAS 10 ML BCO","UN ",0.2447,0,1,1,1,1.41166
16,"FR   60 ML CONTA GOTAS","UN ",0.12,5.5,1,1,1,0.66
1415,"FR  110 ML NYX","FR ",0.65,2.08,1,1,1,1.35417
1418,"POTE CR NYX  30G","UN ",0.4348,4,1,1,1,1.7392
1419,"POTE CR NYX  60G","UN ",0.5117,4,1,1,1,2.0468
1420,"POTE CR NYX 120G","UN ",0.85,3,1,1,1,2.55
1441,"*ETIQ GELADEIRA 45X15MM","UN ",1.00819,0,1,1,1,5.81619
1454,"POTE MP  200","UN ",0.2558,4.17,1,1,1,1.06669
1571,"SABONETEIRA 240ML NYX","UN ",1.1,2.08,1,1,1,2.288
1572,"FR  120ML DES AERO NYX","UN ",0.58,4,1,1,1,2.32
1573,"BISNAGA 120G NYX","UN ",0.48,2.5,1,1,1,1.2
1574,"FR  200ML FLIPTOP","UN ",0.27,0,1,1,1,0.945
1575,"FR  200ML NYX","UN ",0.77,2.08,1,1,1,1.60417
1576,"FR   25 ML NYX","UN ",0.25,2.08,1,1,1,0.52083
1578,"POTE CREME   5G","UN ",0.14,0,1,1,1,0.49
1866,"BISNAGA AL 3.5G","UN ",0.5,0,1,1,1,1.75
1868,"*BISNAGA AL 60G NAO USAR","UN ",0.90634,5,1,1,1,4.5317
1950,"*ETIQ URGENTE 40X10MM","UN ",0.015,5.7694,1,1,1,0.08654
1958,"POTE MP  900","UN ",0.34,0,1,1,1,1.19
2073,"*ETIQ T4 60MCG/T3 12,5MCG 30X1","UN ",0.05,0,1,1,1,0.28845
2083,"FR   30ML C/VALVULA","UN ",0.58,0,1,1,1,2.03
2364,"POTE CAPS PEQUENO 75ML","UN ",0.1,5.5,1,1,1,0.55
2371,"FR   30ML SPY NASAL","UN ",0.83,2,1,1,1,1.66
2372,"FR   60ML SPY NASAL","UN ",1.1,2.6,1,1,1,2.86
2464,"FR   15ML SPY NASAL","UN ",0.78,3.2,1,1,1,2.496
2526,"*INAT DOSADOR P/ GLOBULOS D.3","UN ",0.45765,0,1,1,1,2.64016
2527,"*INAT DOSADOR P/ GLOBULOS D.4","UN ",0.45765,0,1,1,1,2.64016
2529,"*INAT BISNAGA AGATHA 60ML","UN ",1.59965,0,1,1,1,9.22828
2530,"*INAT BISNAGA AGATHA 80ML","UN ",1.6983,0,1,1,1,9.79739
2539,"TALQUEIRA 100G","UN ",0.58,2.5,1,1,1,1.45
2548,"*INAT BISNAGA AGATHA 120ML","UN ",1.76015,0,1,1,1,10.1542
2552,"*TAMPA FLIPTOP AGATHA C/FRISO","UN ",0.64414,0,1,1,1,3.71601
2555,"TUBO PLASTICO 29ML","UN ",0.0696,0,1,1,1,0.2436
2602,"*INAT BISNAGA AL 15G","UN ",0.73156,0,1,1,1,4.22033
2603,"BISNAGA PLASTICA 30G","UN ",0.2,0,1,1,1,0.7
2606,"*INAT BISNAGA AL 100G","UN ",1.0272,0,1,1,1,5.92586
2624,"*TAMPA FUR BCA LACRE R18 30ML","UN ",0.24,5.0411,1,1,1,1.20986
2625,"*CANULA 74/75MM P/30ML","UN ",0.221,6.1304,1,1,1,1.35482
2628,"VD PENICILINA C/ LACRE","UN ",0.1494,0,1,1,1,0.5229
2662,"*BULBO BRANCO","UN ",0.2063,6.1305,1,1,1,1.26472
2663,"*TAMPA FUR BCA LACRE R24","UN ",0.1522,5.3065,1,1,1,0.80765
2665,"*CANULA 82/85MM P/50 E 60ML","UN ",0.22363,6.1461,1,1,1,1.37445
2688,"*FR PET 150ML R28 AMBAR","UN ",1.1761,4.6943,1,1,1,5.52097
2691,"*FR PET 200ML R28 AMBAR","UN ",1.2232,5.0705,1,1,1,6.20224
2692,"*TAMPA LACRE PET R28 BCA","UN ",0.19474,0,1,1,1,1.12344
2693,"*COLHER MEDIDA 10ML LONGA","UN ",0.989,3.4416,1,1,1,3.40374
2701,"*TPA BCA LACR VD10ML BATQ/DISC","UN ",0.15301,0,1,1,1,0.88271
2710,"*VALVULA BAC P/ SABON PET","UN ",1.9,0,1,1,1,10.96099
2711,"*FR PET CILIND CRIST 120ML","UN ",0.49648,0,1,1,1,2.86416
2712,"*FR PET CILIND BCO 120ML","UN ",0.7429,0,1,1,1,4.28575
2713,"*SABONET PET CRIST 315ML","UN ",0.83023,0,1,1,1,4.78955
2716,"*SABONET PET BCA 315ML","UN ",1.435,0,1,1,1,8.27843
2717,"*TAMPA DISK-TOP DOUR ESC","UN ",0.244,0,1,1,1,1.40762
2722,"*FR PET TRAPEZ BCO 300ML","UN ",1.253,0,1,1,1,7.22848
2724,"*INAT FR PET TRAPEZ CRST 300ML","UN ",0.90963,0,1,1,1,5.2476
2725,"*FR PET TRAPEZ BCO 140ML","UN ",0.92891,0,1,1,1,5.35883
2727,"*FR PET TRAPEZ CRIST 140ML","UN ",0.78713,0,1,1,1,4.54091
2728,"*FR CONTA GOTAS 20 ML BCO","UN ",0.284,0,1,1,1,1.63838
2729,"*FR 30ML CONTA GOTAS","UN ",0.40446,0,1,1,1,2.33331
2730,"*FR PET CILIND BCO 200ML","UN ",1.11605,0,1,1,1,6.43843
2731,"*FR PET CILIND CRIST 200ML","UN ",0.91592,0,1,1,1,5.28389
2733,"*FR PET OVAL BCO 200ML","UN ",0.71228,0,1,1,1,4.1091
2734,"*FR PET OVAL CRIST 200ML","UN ",0.66691,0,1,1,1,3.84736
2755,"ROTULO 80X31 TYVEK","UN ",0.13738,2.1665,1,1,1,0.29763
2756,"*ETIQ TRANSPARENTE 60X25MM","UN ",0.0621,0,1,1,1,0.35825
2757,"*POTE BCO 250G SKY CREME","UN ",0.70513,0,1,1,1,4.06785
2758,"ROTULO REDONDO 24MM","UN ",0.06181,0,1,1,1,0.35658
2760,"*POTE BCO 500G SKY CREME","UN ",0.90509,0,1,1,1,5.22141
2761,"*POTE BCO 950G SKY CREME","UN ",1.02078,0,1,1,1,5.88882
2762,"*TAMPA AL OURO 24MM","UN ",0.61418,0,1,1,1,3.54317
2763,"*POTE 250G PRETO MP","UN ",1.502,4.5606,1,1,1,6.85002
2764,"*POTE 500G PRETO MP","UN ",2.7888,3.2995,1,1,1,9.20165
2766,"*POTE 1000G PRETO MP","UN ",3.818,3.9588,1,1,1,15.1147
2767,"*BOMBONA PLAST 5L","UN ",9.775,3.7661,1,1,1,36.81363
2769,"*FR APLIC 15ML","UN ",0.1927,0,1,1,1,1.11167
2771,"*FR APLIC 110ML","UN ",0.67624,0,1,1,1,3.90119
2772,"*INAT TP APLIC 110ML","UN ",0.1763,0,1,1,1,1.01706
2773,"*INAT POTE CAPS TP ROSCA 120ML","UN ",0.37429,0,1,1,1,2.15926
2774,"*INAT POTE CAPS TP ROSCA 180ML","UN ",0.5671,0,1,1,1,3.27157
2775,"*INAT POTE CAPS TP ROSCA 60ML","UN ",0.34026,0,1,1,1,1.96294
2776,"*TAMPA ROSCA BCA","UN ",0.321,0,1,1,1,1.85183
2780,"*SACHE MEDIO 7X12CM - 10G","UN ",0.11,0,1,1,1,0.44
2782,"*SACHE PEQUENO 7X6CM - 5G","UN ",0.07,0,1,1,1,0.28
2783,"*ALUMINIO BLISTER DUPLO","UN ",0.197,5.8806,1,1,1,1.15848
2786,"*INAT BLISTER CRST TRIPLO 00/0","UN ",0.09,3.0537,1,1,1,0.27483
2787,"*INAT BLISTER CRIST TRIPLO 3/4","UN ",0.09,5.7687,1,1,1,0.51918
2788,"*ALUMINIO BLISTER TRIPLO","UN ",0.139,6.6063,1,1,1,0.91828
2789,"*BLISTER CR DUP 00/0 1/2 3/4","UN ",0.07372,0,1,1,1,0.42529
2791,"*INAT BLISTER CRIST DUPLO 00/0","UN ",0.152,0,1,1,1,0.87688
2792,"*BLISTER CR DUP 0 1/2 3/4 - 15","UN ",0.07372,0,1,1,1,0.42529
2794,"*INAT SACOLA PLAST BCA PEQ ESS","UN ",0.96407,2.8885,1,1,1,2.78472
2796,"BISNAGA AGATHA 60ML","FR ",3.0398,5.5721,1,1,1,16.93807
2797,"FR PET CILIND CRIST 200ML -AL","FR ",2.2643,0,1,1,1,14.69902
2798,"VD 30ML CONTA-GOTAS","VD ",1.6864,9.3396,1,1,1,15.7503
2800,"POTE CAPS 50ML","FR ",1.466,7.2562,1,1,1,10.63759
2802,"VD 10ML MICROGLOB","VD ",1.9438,0,1,1,1,12.61845
2803,"VD 10ML DOSE UNICA","VD ",1.9438,6.9824,1,1,1,13.57239
2804,"VD 60ML CONTA-GOTAS","VD ",1.8206,12.0822,1,1,1,21.99685
2805,"VD 30ML GLOBULOS","VD ",1.9791,0,1,1,1,12.8476
2806,"POTE CAPS 100ML","FR ",2.1447,6.708,1,1,1,14.38665
2807,"POTE CAPS 200ML","FR ",2.2327,7.8769,1,1,1,17.58675
2808,"FR PET CILIND BCO 200ML - AL","FR ",2.4645,0,1,1,1,15.99865
2814,"FR PET TRAPEZ CRIST 140ML - D","FR ",1.7653,0,1,1,1,11.45969
2817,"FR PET TRAPEZ BCO 140ML -D","FR ",1.9071,0,1,1,1,12.38021
2818,"FR PET TRAPEZ CRIST 300ML - D","FR ",1.8878,0,1,1,1,12.25492
2835,"FR PET TRAPEZ BCO 300ML -D","FR ",2.2312,6.5711,1,1,1,14.66144
2843,"FR  120ML DES SPY","UN ",0.15,7,1,1,1,1.05
2844,"BISNAGA  80G NYX","UN ",0.46,2.5,1,1,1,1.15
2845,"FR PET OVAL AMBAR 200ML - D","FR ",1.6451,6.4131,1,1,1,10.55019
2848,"FR PET OVAL BCO 200ML - D","FR ",1.6905,0,1,1,1,10.97412
2853,"FR PET XAROPE 100ML","FR ",1.6783,0,1,1,1,10.89492
2854,"BISNAGA PLASTICA 50G","UN ",0.3968,0,1,1,1,1.3888
2855,"BISNAGA PLASTICA 60G","UN ",0.24,0,1,1,1,0.84
2856,"BISNAGA PLASTICA 80G","UN ",0.4175,0,1,1,1,1.46125
2857,"BISNAGA PLASTICA 100G","UN ",0.25,0,1,1,1,0.875
2858,"FLACONETE 5ML","UN ",0.12,0,1,1,1,0.42
2861,"BISNAGA FLIP-TOP  60ML","UN ",0.24,0,1,1,1,0.84
2862,"BISNAGA FLIP-TOP 110ML","UN ",0.22,0,1,1,1,0.77
2868,"FR PET XAROPE 150ML","FR ",1.8523,0,1,1,1,12.02446
2869,"FR PET XAROPE 200ML","FR ",1.5642,7.9715,1,1,1,12.46902
2880,"BISNAGA AGATHA 80ML","FR ",3.1384,0,1,1,1,20.37336
2887,"BISNAGA AGATHA 120ML","FR ",3.2002,0,1,1,1,20.77455
2888,"BISNAGA ALUMINIO 15G","FR ",1.3353,1.8575,1,1,1,2.48032
2890,"BISNAGA ALUMINIO 30G","FR ",1.3842,1.8575,1,1,1,2.57115
2891,"BISNAGA ALUMINIO 60G","FR ",1.4742,1.8575,1,1,1,2.73833
2892,"BISNAGA ALUMINIO 120G","FR ",1.5523,7.412,1,1,1,11.50565
2893,"POTE CREME 15G","FR ",1.5249,0,1,1,1,9.8991
2894,"POTE CREME 30G","FR ",1.7007,0,1,1,1,11.04033
2895,"POTE CREME 120G","FR ",2.1056,0,1,1,1,13.6688
2896,"POTE CREME 60G","FR ",1.7608,5.5721,1,1,1,9.81135
2897,"POTE CREME 250G","FR ",1.4928,0,1,1,1,9.69072
2898,"POTE CREME 500G","FR ",1.6928,0,1,1,1,10.98905
2915,"POTE CREME 950G","FR ",1.8085,0,1,1,1,11.74013
2928,"FRASCO BCO 250ML","FR ",1.5746,0,1,1,1,10.22174
2929,"*FR COSFAR 500ML PRETO","UN ",2.214,4.7397,1,1,1,10.4937
2936,"*FR COSFAR 1000ML PRETO","UN ",3.432,4.631,1,1,1,15.89359
2939,"FRASCO BCO 500ML","FR ",1.9852,0,1,1,1,9.4675
2941,"FRASCO BCO 1000ML","FR ",3.3669,0,1,1,1,21.8567
2942,"FR CONTA-GOTAS BCO 10ML","FR ",1.1503,0,1,1,1,7.46733
2943,"FR CONTA-GOTAS BCO 20ML","FR ",1.1896,0,1,1,1,7.72245
2945,"FR CONTA-GOTAS BCO 30ML","FR ",1.1387,0,1,1,1,7.39203
2950,"FR PET CILIND AMBAR 120ML - AL","FR ",1.8524,0,1,1,1,12.02511
2951,"FR PET CILIND CRIST 120ML -AL","FR ",1.8449,0,1,1,1,11.97643
2952,"FR SABONET PET CRIST 315ML","FR ",2.7414,0,1,1,1,17.79618
2958,"FR SABONET PET BCA 315ML","FR ",3.3462,0,1,1,1,21.72233
2998,"BISNAGA 160G NYX","UN ",0.52,2.5,1,1,1,1.3
3066,"POTE 500G VEDAPACK","UN ",0.4277,0,1,1,1,1.49695
3067,"POTE 1000G","UN ",0.67,0,1,1,1,2.345
3244,"VD 100ML C/CONTA GOTAS","VD ",0.3293,0,1,1,1,1.15255
3421,"FR   50 ML CONTA GOTAS","UN ",0.187,0,1,1,1,0.6545
3624,"*INAT TP APLIC 15-30ML","UN ",0.08586,0,1,1,1,0.49532
3648,"*FR 250 ML","UN ",0.84044,0,1,1,1,4.84845
3748,"*COPO MEDIDOR 10ML","UN ",0.2461,0,1,1,1,1.41974
3769,"BT AVULSO FR. 120 ML","UN ",0,0,1,1,1,0
3809,"*INAT BISNAGA AL 30G","UN ",0.78952,0,1,1,1,4.55469
4056,"ESPATULA GRANDE","UN ",0.046,0,1,1,1,0.161
4095,"*INAT PORTA CAPS SEMANAL","UN ",1.69702,0,1,1,1,9.79001
4102,"*PORTA CAPS DIARIO","UN ",1.819,0,1,1,1,10.4937
4103,"*FR ESMALTE 10ML","UN ",0.6475,0,1,1,1,3.73539
4104,"*TP FR CONTA GOTAS 10/20ML BCA","UN ",0.097,0,1,1,1,0.55959
4137,"*FR ESMALTE 16ML","UN ",0.5564,0,1,1,1,3.20984
4139,"*TAMPA FR ESMALTE 16ML","UN ",0.14445,0,1,1,1,0.83332
4175,"POTE CAPS 500ML","UN ",3.2735,6.8688,1,1,1,22.48502
4180,"POTE CAPS 1000ML","UN ",5.5855,5.4447,1,1,1,30.41137
4262,"*VD 15ML AMBAR","UN ",0.49541,0,1,1,1,2.85799
4284,"*VD R18 20ML AMBAR EUROPEU","UN ",0.6175,5.5587,1,1,1,3.4325
4291,"*INAT VD 30ML MICROGL","UN ",0.3054,0,1,1,1,1.76183
4409,"POTE CAPS 50 ML","UN ",0.075,5.5,1,1,1,0.4125
4504,"TAMPA MP100 VERDE 018","UN ",0.081,0,1,1,1,0.2835
4655,"*SILICA GEL CAPSULA 1G","UN ",0.09,1.3269,1,1,1,0.11942
4681,"*SACHE PEQUENO 7X7CM 5G","UN ",0.282,6.572,1,1,1,1.8533
4790,"FR  150 ML","UN ",0.33,4.25,1,1,1,1.4025
4851,"POTE 30 SACHES","UN ",8.81146,3.2812,1,1,1,28.91216
4852,"POTE 60 SACHES","UN ",17.4383,2.9805,1,1,1,51.97485
4854,"POTE 90 SACHES","UN ",26.5008,2.3731,1,1,1,62.88905
4858,"*INAT POTE CAPS TP ROSCA 300ML","UN ",0.72589,0,1,1,1,4.18762
4941,"POTE CAPS 250ML","FR ",2.8258,7.1627,1,1,1,20.24036
5088,"FR APLICADOR 15ML","UN ",0.9269,0,1,1,1,6.0171
5140,"FR CONTA GOTAS 120ML","UN ",1.4104,0,1,1,1,9.15581
5290,"FR  260 ML","UN ",0.38,4.25,1,1,1,1.615
5329,"*SACHE MEDIO 7X12CM 10G","UN ",0.326,5.0788,1,1,1,1.65569
5348,"VD GLOBULOS 10ML","UN ",0.1333,0,1,1,1,0.46655
5349,"*CX BLISTER PEQ NÃO USAR","UN ",0.935,0,1,1,1,5.39396
5352,"*BATOQUE GOTEJADOR R18","UN ",0.2763,6.1282,1,1,1,1.69322
5359,"*INAT FR PET 200ML R24 BCO CIL","UN ",1.06144,0,1,1,1,6.12338
5378,"*INAT FR PET 200ML R24 CRS CIL","UN ",1.05288,0,1,1,1,6.074
5416,"POTE CRISTAL 10ML","UN ",0.0602,0,1,1,1,0.2107
5569,"SERINGA DOSADORA","UN ",0.68,2.5,1,1,1,1.7
5812,"*ETIQ CONFERIDO VAREJO 100MM","UN ",0.72,0,1,1,1,4.15364
5873,"FR  120 ML","UN ",0.3,4.42,1,1,1,1.325
6052,"TAMPA MP100 BRANCA","UN ",0.1907,0,1,1,1,0.66745
6060,"FR PET CILIN AMBAR 120ML -D","UN ",2.0209,0,1,1,1,13.11896
6064,"FR PET CILIN CRIST 120ML- D","FR ",2.0134,0,1,1,1,13.07027
6068,"FR PET CILIND BCO 200ML -D","FR ",2.633,0,1,1,1,17.09249
6069,"FR PET CILIN CRIST 200ML-D","FR ",2.4328,0,1,1,1,15.79286
6190,"POTE 15 SACHES","UN ",5.38381,3.4647,1,1,1,18.65329
6417,"POTE 120 SACHES","UN ",35.2522,2.3235,1,1,1,81.90849
6578,"*ETIQ HCG 250UI COMP 30X10MMX2","UN ",5.72771,0,1,1,1,33.04282
6745,"*INAT SERINGA INSULINA","UN ",1.18864,0,1,1,1,6.85719
6803,"*SERINGA 10ML LOCK BD","UN ",0.98,5.7635,1,1,1,5.64823
7420,"*POTE CREME 15G C/FRISO OURO","UN ",0.73723,0,1,1,1,4.25304
7555,"*ETIQ BRANCA 106X70MM S/IMPRES","UN ",89,0,1,1,1,513.43566
7620,"EMB TRANSD SERINGA 60ML","UN ",15.2779,4.2599,1,1,1,65.082
7800,"*ETIQ HCG 125UI COMP 30X10MMX2","UN ",7.3723,0,1,1,1,42.53036
7809,"POTE PRETO 250","UN ",0.225,0,1,1,1,0.7875
7811,"POTE PRETO 500","UN ",0.3875,0,1,1,1,1.35625
8074,"*INAT BOMBONA 3,5L","UN ",3.02264,0,1,1,1,17.43743
8100,"*ETIQ TRANSPARENTE 40X60MM","UN ",0.09767,0,1,1,1,0.56345
8165,"CX ISOPOR MED 500G","UN ",0.7,0,1,1,1,2.45
8166,"CX ISOPOR GRD 1000G","UN ",0.8,0,1,1,1,2.8
8199,"*INAT BOMBONA 2L","UN ",1.92814,0,1,1,1,11.12332
8230,"*BOMBONA 1L C/ ALÇA","UN ",1.15688,6.1301,1,1,1,7.09179
8275,"SERINGA AMBAR 1ML","UN ",0.28,0,1,1,1,0.98
8276,"APLICADOR POS 20G","UN ",0.53,2,1,1,1,1.06
8277,"POTE JARRA 20G","UN ",1.46,1.9,1,1,1,2.774
8279,"POTE JARRA 50G","UN ",1.92,1.9,1,1,1,3.648
8281,"BISNAGA 10G","UN ",0.61,2,1,1,1,1.22
8282,"APLICADOR VAGINAL PRON","UN ",0.5,0.1,1,1,1,0.05
8287,"CX ISOPOR PEQ 250G","UN ",0.5,0,1,1,1,1.75
8294,"*INAT ADAPTADOR BOCA 24MM","UN ",0.74432,0,1,1,1,4.29394
8295,"ADAPTADOR BOCA 22MM","UN ",0.75,0,1,1,1,2.625
8296,"*INAT ADAPTADOR BOCA 18MM","UN ",0.75,5.7252,1,1,1,4.2939
8297,"ADAPTADOR BOCA 20MM","UN ",0.75,0,1,1,1,2.625
8306,"*INAT FR ALMOTOLIA 250ML","UN ",1.5255,0,1,1,1,8.80052
8326,"*INAT GOTEJADOR INTERNO","UN ",0.13696,0,1,1,1,0.79011
8328,"*INAT FORMA BATOM","UN ",0.4,44.2891,1,1,1,17.71564
8369,"*INAT VD QUAD 120ML C/ROLHA","UN ",4.52228,0,1,1,1,26.08876
8377,"*INAT VD TINT 175ML C/ROLHA","UN ",3.90482,0,1,1,1,22.52667
8394,"APLICADOR VAGINAL VIRG","UN ",0.17754,0,1,1,1,1.3049
8421,"FR PET 150ML BR","UN ",0.2483,0,1,1,1,0.86905
8422,"FR PET 125ML BR","UN ",0.2299,0,1,1,1,0.80465
8423,"FR PET 100ML BR","UN ",0.2066,0,1,1,1,0.7231
8425,"FR PET 60ML BR","UN ",0.1691,0,1,1,1,0.59185
8426,"FR PET 30ML BR","UN ",0.1466,0,1,1,1,0.5131
8427,"FR PET 25ML BR","UN ",0.1358,0,1,1,1,0.4753
8448,"*SABONET VIDRO 175ML","UN ",3.83881,0,1,1,1,22.14586
8532,"POTE BRANCO 250","UN ",0.1808,0,1,1,1,0.6328
8553,"*INAT VALV AMER P/ SABON VIDRO","UN ",1.10585,0,1,1,1,6.37958
8578,"*POTE VD 30ML FOSCO","UN ",1.11038,0,1,1,1,6.40572
8580,"*TAMPA BCA POTE FOSCO 30ML","UN ",0.4775,0,1,1,1,2.75467
8581,"*POTE VD 60ML FOSCO","UN ",1.21246,0,1,1,1,6.99461
8595,"*INAT SACOLA PLAST BCA GDE ESS","UN ",0.77,0,1,1,1,4.44208
8611,"*ETIQ APROVADO 40X10MM","UN ",0.018,4.724,1,1,1,0.08503
8612,"*ETIQ QUARENTENA 40X10MM","UN ",0.018,4.724,1,1,1,0.08503
8613,"*ETIQ GELADEIRA DESENHO 75X70M","UN ",0.126,0.6749,1,1,1,0.08504
8614,"*ETIQ AGITE ANTES DE USAR 40X1","UN ",0.05,1.7006,1,1,1,0.08503
8615,"*ETIQ MANTER EM FREEZER 30X10M","UN ",0.05,0,1,1,1,0.28845
8616,"*ETIQ 1 DOSE=2 MEDIDAS 40X10MM","UN ",0.05,0,1,1,1,0.28845
8626,"FORMA BALA 24UN","UN ",0,0,1,1,1,0
8627,"*INAT FORMA BALA 30UN","UN ",0,0,1,1,1,0
8628,"PALITO PIRULITO","UN ",0.0117,0,1,1,1,0.04095
8686,"*TAMPA BCA POTE FOSCO 60ML","UN ",0.44461,0,1,1,1,2.56493
8687,"ROTULO TRANSP 80X31 SOBREP","UN ",0.0828,2.0219,1,1,1,0.16741
8700,"POTE JARRA 100G","UN ",0,0,1,1,1,0
8814,"FR ESMALTE 16ML","UN ",1.8293,9.2696,1,1,1,16.95688
