,CDPRO,DESCR,UNIDA,PRCOM,FATOR,DILUICAO,EQUIV,DENSIDADE,PRVEN,ARGUMENTO,PARAMETRO
0,,,UN ,0.2447,0.0,1.0,1.0,1.0,1.41166,,
1,15.0,*FR CONTA GOTAS 10 ML BCO,UN ,0.2447,0.0,1.0,1.0,1.0,1.41166,,
2,,,UN ,0.2447,0.0,1.0,1.0,1.0,1.41166,,
3,15.0,*FR CONTA GOTAS 10 ML BCO,UN ,0.2447,0.0,1.0,1.0,1.0,1.41166,,
4,,,UN ,0.2447,0.0,1.0,1.0,1.0,1.41166,,
5,15.0,*FR CONTA GOTAS 10 ML BCO,UN ,0.2447,0.0,1.0,1.0,1.0,1.41166,,
6,36020.0,BASE COLD CREAM,G  ,0.0269,10.6285,1.0,1.0,1.0,0.286,,
7,41358.0,CREME BASE BARREIRA,G  ,0.0269,10.6285,1.0,1.0,1.0,0.286,,
8,41625.0,CREME VASELINADO,G  ,0.0269,10.6285,1.0,1.0,1.0,0.286,,
9,18.0,COLD CREAM (A/O) ANIÔNICO,G  ,0.0269,10.6285,1.0,1.0,1.0,0.286,,
10,36020.0,BASE COLD CREAM,G  ,0.0269,10.6285,1.0,1.0,1.0,0.286,,
11,41358.0,CREME BASE BARREIRA,G  ,0.0269,10.6285,1.0,1.0,1.0,0.286,,
12,41625.0,CREME VASELINADO,G  ,0.0269,10.6285,1.0,1.0,1.0,0.286,,
13,18.0,COLD CREAM (A/O) ANIÔNICO,G  ,0.0269,10.6285,1.0,1.0,1.0,0.286,,
14,36020.0,BASE COLD CREAM,G  ,0.0269,10.6285,1.0,1.0,1.0,0.286,,
15,41358.0,CREME BASE BARREIRA,G  ,0.0269,10.6285,1.0,1.0,1.0,0.286,,
16,41625.0,CREME VASELINADO,G  ,0.0269,10.6285,1.0,1.0,1.0,0.286,,
17,27667.0,EXCIPIENTE ESPECIAL AUTISMO,G  ,0.0265,9.3962,1.0,1.0,0.7,0.249,,
18,38357.0,BASE SHAKE P/ CAES E GATOS,G  ,0.0265,9.3962,1.0,1.0,0.7,0.249,,
19,41331.0,TRANSFORMAÇAO DE DOSE,G  ,0.0265,9.3962,1.0,1.0,0.7,0.249,,
20,30.0,EXCIPIENTE PADRÃO CÁPSULAS,G  ,0.0265,9.3962,1.0,1.0,0.7,0.249,,
21,27667.0,EXCIPIENTE ESPECIAL AUTISMO,G  ,0.0265,9.3962,1.0,1.0,0.7,0.249,,
22,38357.0,BASE SHAKE P/ CAES E GATOS,G  ,0.0265,9.3962,1.0,1.0,0.7,0.249,,
23,41331.0,TRANSFORMAÇAO DE DOSE,G  ,0.0265,9.3962,1.0,1.0,0.7,0.249,,
24,30.0,EXCIPIENTE PADRÃO CÁPSULAS,G  ,0.0265,9.3962,1.0,1.0,0.7,0.249,,
25,27667.0,EXCIPIENTE ESPECIAL AUTISMO,G  ,0.0265,9.3962,1.0,1.0,0.7,0.249,,
26,38357.0,BASE SHAKE P/ CAES E GATOS,G  ,0.0265,9.3962,1.0,1.0,0.7,0.249,,
27,41331.0,TRANSFORMAÇAO DE DOSE,G  ,0.0265,9.3962,1.0,1.0,0.7,0.249,,
28,30.0,EXCIPIENTE PADRÃO CÁPSULAS,G  ,0.0265,9.3962,1.0,1.0,0.7,0.249,,
29,391.0,PHYLLANTHUS FL,G  ,7.882,5.1236,1.0,1.0,1.0,40.38422,,
30,34.0,ROCK WATER FL,G  ,7.882,5.1236,1.0,1.0,1.0,40.38422,,
31,391.0,PHYLLANTHUS FL,G  ,7.882,5.1236,1.0,1.0,1.0,40.38422,,
32,34.0,ROCK WATER FL,G  ,7.882,5.1236,1.0,1.0,1.0,40.38422,,
33,391.0,PHYLLANTHUS FL,G  ,7.882,5.1236,1.0,1.0,1.0,40.38422,,
34,34.0,ROCK WATER FL,G  ,7.882,5.1236,1.0,1.0,1.0,40.38422,,
35,31214.0,GARLIC EXTRACT,G  ,0.445,10.5418,1.02,1.0,1.0,4.6911,,
36,31216.0,ALLIUM SATIVA,G  ,0.445,10.5418,1.02,1.0,1.0,4.6911,,
37,32028.0,AGED GARLIC,G  ,0.445,10.5418,1.02,1.0,1.0,4.6911,,
38,32269.0,ALLIUM SATIVUM EXT,G  ,0.445,10.5418,1.02,1.0,1.0,4.6911,,
39,32271.0,EXT SECO ALHO,G  ,0.445,10.5418,1.02,1.0,1.0,4.6911,,
40,32272.0,ALHO EXTRATO,G  ,0.445,10.5418,1.02,1.0,1.0,4.6911,,
41,32273.0,GARLIC EXT,G  ,0.445,10.5418,1.02,1.0,1.0,4.6911,,
42,32274.0,ALHO EXT SECO,G  ,0.445,10.5418,1.02,1.0,1.0,4.6911,,
43,37925.0,ALHO,G  ,0.445,10.5418,1.02,1.0,1.0,4.6911,,
44,37.0,"ALHO ENVELHECIDO EXT 0,5%",G  ,0.445,10.5418,1.02,1.0,1.0,4.6911,,
45,31214.0,GARLIC EXTRACT,G  ,0.445,10.5418,1.02,1.0,1.0,4.6911,,
46,31216.0,ALLIUM SATIVA,G  ,0.445,10.5418,1.02,1.0,1.0,4.6911,,
47,32028.0,AGED GARLIC,G  ,0.445,10.5418,1.02,1.0,1.0,4.6911,,
48,32269.0,ALLIUM SATIVUM EXT,G  ,0.445,10.5418,1.02,1.0,1.0,4.6911,,
49,32271.0,EXT SECO ALHO,G  ,0.445,10.5418,1.02,1.0,1.0,4.6911,,
50,32272.0,ALHO EXTRATO,G  ,0.445,10.5418,1.02,1.0,1.0,4.6911,,
51,32273.0,GARLIC EXT,G  ,0.445,10.5418,1.02,1.0,1.0,4.6911,,
52,32274.0,ALHO EXT SECO,G  ,0.445,10.5418,1.02,1.0,1.0,4.6911,,
53,37925.0,ALHO,G  ,0.445,10.5418,1.02,1.0,1.0,4.6911,,
54,31214.0,GARLIC EXTRACT,G  ,0.445,10.5418,1.02,1.0,1.0,4.6911,,
55,31216.0,ALLIUM SATIVA,G  ,0.445,10.5418,1.02,1.0,1.0,4.6911,,
56,32028.0,AGED GARLIC,G  ,0.445,10.5418,1.02,1.0,1.0,4.6911,,
57,32269.0,ALLIUM SATIVUM EXT,G  ,0.445,10.5418,1.02,1.0,1.0,4.6911,,
58,32271.0,EXT SECO ALHO,G  ,0.445,10.5418,1.02,1.0,1.0,4.6911,,
59,32272.0,ALHO EXTRATO,G  ,0.445,10.5418,1.02,1.0,1.0,4.6911,,
60,32273.0,GARLIC EXT,G  ,0.445,10.5418,1.02,1.0,1.0,4.6911,,
61,32274.0,ALHO EXT SECO,G  ,0.445,10.5418,1.02,1.0,1.0,4.6911,,
62,37925.0,ALHO,G  ,0.445,10.5418,1.02,1.0,1.0,4.6911,,
63,110.0,TUBERCULINUM ,G  ,1.42,6.4369,1.0,1.0,1.0,9.1404,,
64,33990.0,TK,G  ,1.42,6.4369,1.0,1.0,1.0,9.1404,,
65,40.0,TUBERCULINUM KOCH HO,G  ,1.42,6.4369,1.0,1.0,1.0,9.1404,,
66,110.0,TUBERCULINUM ,G  ,1.42,6.4369,1.0,1.0,1.0,9.1404,,
67,33990.0,TK,G  ,1.42,6.4369,1.0,1.0,1.0,9.1404,,
68,40.0,TUBERCULINUM KOCH HO,G  ,1.42,6.4369,1.0,1.0,1.0,9.1404,,
69,110.0,TUBERCULINUM ,G  ,1.42,6.4369,1.0,1.0,1.0,9.1404,,
70,33990.0,TK,G  ,1.42,6.4369,1.0,1.0,1.0,9.1404,,
71,40.0,TUBERCULINUM KOCH HO,G  ,1.42,6.4369,1.0,1.0,1.0,9.1404,,
72,544.0,NITRICUM ARGENTUM,G  ,1.78,5.8455,1.0,1.0,1.0,10.40499,,
73,545.0,ARGENTO NITRICO,G  ,1.78,5.8455,1.0,1.0,1.0,10.40499,,
74,546.0,NITRICO ARGENTO,G  ,1.78,5.8455,1.0,1.0,1.0,10.40499,,
75,41.0,ARGENTUM NITRICUM HO,G  ,1.78,5.8455,1.0,1.0,1.0,10.40499,,
76,544.0,NITRICUM ARGENTUM,G  ,1.78,5.8455,1.0,1.0,1.0,10.40499,,
77,545.0,ARGENTO NITRICO,G  ,1.78,5.8455,1.0,1.0,1.0,10.40499,,
78,546.0,NITRICO ARGENTO,G  ,1.78,5.8455,1.0,1.0,1.0,10.40499,,
79,41.0,ARGENTUM NITRICUM HO,G  ,1.78,5.8455,1.0,1.0,1.0,10.40499,,
80,544.0,NITRICUM ARGENTUM,G  ,1.78,5.8455,1.0,1.0,1.0,10.40499,,
81,545.0,ARGENTO NITRICO,G  ,1.78,5.8455,1.0,1.0,1.0,10.40499,,
82,546.0,NITRICO ARGENTO,G  ,1.78,5.8455,1.0,1.0,1.0,10.40499,,
83,41.0,ARGENTUM NITRICUM HO,G  ,1.78,5.8455,1.0,1.0,1.0,10.40499,,
84,25378.0,SEPIA OFFICINALIS HO,G  ,1.98,4.5491,1.0,1.0,1.0,9.00722,,
85,41322.0,SEPIA HO,G  ,1.98,4.5491,1.0,1.0,1.0,9.00722,,
86,43.0,SEPIA SUCCUS HO,G  ,1.98,4.5491,1.0,1.0,1.0,9.00722,,
87,25378.0,SEPIA OFFICINALIS HO,G  ,1.98,4.5491,1.0,1.0,1.0,9.00722,,
88,41322.0,SEPIA HO,G  ,1.98,4.5491,1.0,1.0,1.0,9.00722,,
89,43.0,SEPIA SUCCUS HO,G  ,1.98,4.5491,1.0,1.0,1.0,9.00722,,
90,25378.0,SEPIA OFFICINALIS HO,G  ,1.98,4.5491,1.0,1.0,1.0,9.00722,,
91,41322.0,SEPIA HO,G  ,1.98,4.5491,1.0,1.0,1.0,9.00722,,
92,43.0,SEPIA SUCCUS HO,G  ,1.98,4.5491,1.0,1.0,1.0,9.00722,,
93,969.0,MURIATICUM MAGNESIUM HOMEOP,G  ,1.0,7.8177,1.0,1.0,1.0,7.8177,,
94,973.0,MURIATICO MAGNESIO HOMEOP,G  ,1.0,7.8177,1.0,1.0,1.0,7.8177,,
95,974.0,MAGNESIO MURIATICO HOMEOP,G  ,1.0,7.8177,1.0,1.0,1.0,7.8177,,
96,44.0,MAGNESIA MURIATICA HO,G  ,1.0,7.8177,1.0,1.0,1.0,7.8177,,
97,969.0,MURIATICUM MAGNESIUM HOMEOP,G  ,1.0,7.8177,1.0,1.0,1.0,7.8177,,
98,973.0,MURIATICO MAGNESIO HOMEOP,G  ,1.0,7.8177,1.0,1.0,1.0,7.8177,,
99,974.0,MAGNESIO MURIATICO HOMEOP,G  ,1.0,7.8177,1.0,1.0,1.0,7.8177,,
100,44.0,MAGNESIA MURIATICA HO,G  ,1.0,7.8177,1.0,1.0,1.0,7.8177,,
101,969.0,MURIATICUM MAGNESIUM HOMEOP,G  ,1.0,7.8177,1.0,1.0,1.0,7.8177,,
102,973.0,MURIATICO MAGNESIO HOMEOP,G  ,1.0,7.8177,1.0,1.0,1.0,7.8177,,
103,974.0,MAGNESIO MURIATICO HOMEOP,G  ,1.0,7.8177,1.0,1.0,1.0,7.8177,,
104,44.0,MAGNESIA MURIATICA HO,G  ,1.0,7.8177,1.0,1.0,1.0,7.8177,,
105,46.0,ACTEA RACEMOSA HOMEOP,G  ,0.83333,3.5613,1.0,1.0,1.0,2.96774,,
106,501.0,CIMICIFUGA HO,G  ,0.83333,3.5613,1.0,1.0,1.0,2.96774,,
107,45.0,ACTAEA RACEMOSA HO,G  ,0.83333,3.5613,1.0,1.0,1.0,2.96774,,
108,46.0,ACTEA RACEMOSA HOMEOP,G  ,0.83333,3.5613,1.0,1.0,1.0,2.96774,,
109,501.0,CIMICIFUGA HO,G  ,0.83333,3.5613,1.0,1.0,1.0,2.96774,,
110,45.0,ACTAEA RACEMOSA HO,G  ,0.83333,3.5613,1.0,1.0,1.0,2.96774,,
111,46.0,ACTEA RACEMOSA HOMEOP,G  ,0.83333,3.5613,1.0,1.0,1.0,2.96774,,
112,501.0,CIMICIFUGA HO,G  ,0.83333,3.5613,1.0,1.0,1.0,2.96774,,
113,45.0,ACTAEA RACEMOSA HO,G  ,0.83333,3.5613,1.0,1.0,1.0,2.96774,,
114,,,G  ,2.8067,0.0,1.0,1.0,1.0,26.07503,,
115,47.0,THERIDION CURRASSAVICU HO,G  ,2.8067,0.0,1.0,1.0,1.0,26.07503,,
116,,,G  ,2.8067,0.0,1.0,1.0,1.0,26.07503,,
117,47.0,THERIDION CURRASSAVICU HO,G  ,2.8067,0.0,1.0,1.0,1.0,26.07503,,
118,,,G  ,2.8067,0.0,1.0,1.0,1.0,26.07503,,
119,112.0,ANTIMONIUM,G  ,1.61,0.0,1.0,1.0,1.0,14.95735,,
120,535.0,ANTIMONIO TARTARICO,G  ,1.61,0.0,1.0,1.0,1.0,14.95735,,
121,21857.0,STIBIUM TARTARICUM,G  ,1.61,0.0,1.0,1.0,1.0,14.95735,,
122,53.0,ANTIMONIUM TARTARICUM HO,G  ,1.61,0.0,1.0,1.0,1.0,14.95735,,
123,112.0,ANTIMONIUM,G  ,1.61,0.0,1.0,1.0,1.0,14.95735,,
124,535.0,ANTIMONIO TARTARICO,G  ,1.61,0.0,1.0,1.0,1.0,14.95735,,
125,21857.0,STIBIUM TARTARICUM,G  ,1.61,0.0,1.0,1.0,1.0,14.95735,,
126,53.0,ANTIMONIUM TARTARICUM HO,G  ,1.61,0.0,1.0,1.0,1.0,14.95735,,
127,112.0,ANTIMONIUM,G  ,1.61,0.0,1.0,1.0,1.0,14.95735,,
128,535.0,ANTIMONIO TARTARICO,G  ,1.61,0.0,1.0,1.0,1.0,14.95735,,
129,21857.0,STIBIUM TARTARICUM,G  ,1.61,0.0,1.0,1.0,1.0,14.95735,,
130,53.0,ANTIMONIUM TARTARICUM HO,G  ,1.61,0.0,1.0,1.0,1.0,14.95735,,
131,909.0,CARBONICUM KALIUM,G  ,1.34,0.0,1.0,1.0,1.0,12.44898,,
132,910.0,CARBONICO KALI,G  ,1.34,0.0,1.0,1.0,1.0,12.44898,,
133,911.0,KALI CARBONICO,G  ,1.34,0.0,1.0,1.0,1.0,12.44898,,
134,54.0,KALIUM CARBONICUM HO,G  ,1.34,0.0,1.0,1.0,1.0,12.44898,,
135,909.0,CARBONICUM KALIUM,G  ,1.34,0.0,1.0,1.0,1.0,12.44898,,
136,910.0,CARBONICO KALI,G  ,1.34,0.0,1.0,1.0,1.0,12.44898,,
